GEOCODE,GEONAME,Total Pop.,Male,Female
3501005,South Glengarry,13150,6640,6510
3501007,Akwesasne (Part) 59,1490,680,810
3501011,South Stormont,13110,6625,6485
3501012,Cornwall,46590,22265,24325
3501020,South Dundas,10835,5295,5540
3501030,North Dundas,11275,5555,5720
3501042,North Stormont,6875,3540,3335
3501050,North Glengarry,10110,4965,5140
3502001,East Hawkesbury,3295,1715,1580
3502008,Hawkesbury,10265,4800,5460
3502010,Champlain,8705,4330,4375
3502023,Alfred and Plantagenet,9680,4785,4895
3502025,The Nation / La Nation,12810,6455,6355
3502036,Clarence-Rockland,24515,12095,12420
3502044,Casselman,3550,1755,1795
3502048,Russell,16520,8190,8330
3506008,Ottawa,934245,453875,480365
3507004,Edwardsburgh/Cardinal,7095,3565,3530
3507006,Augusta,7355,3680,3670
3507008,Prescott,4225,1980,2240
3507014,Elizabethtown-Kitley,9850,4845,5005
3507015,Brockville,21345,10015,11335
3507017,Front of Yonge,2610,1300,1305
3507021,Leeds and the Thousand Islands,9465,4745,4720
3507024,Gananoque,5160,2465,2690
3507033,Westport,590,260,330
3507040,Rideau Lakes,10325,5125,5200
3507042,Athens,3010,1500,1515
3507052,Merrickville-Wolford,3070,1475,1595
3507065,North Grenville,16450,8165,8290
3509001,Montague,3760,1855,1905
3509004,Smiths Falls,8780,4125,4655
3509010,Drummond/North Elmsley,7775,3915,3860
3509015,Tay Valley,5665,2815,2845
3509021,Perth,5930,2635,3295
3509024,Beckwith,7640,3840,3805
3509028,Carleton Place,10640,5025,5620
3509030,Mississippi Mills,13165,6450,6705
3509039,Lanark Highlands,5335,2730,2610
3510005,Frontenac Islands,1760,885,875
3510010,Kingston,123800,59580,64215
3510020,South Frontenac,18645,9300,9340
3510035,Central Frontenac,4370,2255,2120
3510045,North Frontenac,1895,985,915
3511005,Loyalist,16970,8695,8280
3511015,Greater Napanee,15890,7735,8155
3511030,Stone Mills,7700,3865,3835
3511035,Addington Highlands,2320,1190,1135
3512001,Tyendinaga,4300,2180,2120
3512002,Deseronto,1775,890,885
3512004,Tyendinaga Mohawk Territory,2520,1240,1285
3512005,Belleville,50715,24255,26460
3512015,Quinte West,43575,21660,21915
3512020,Stirling-Rawdon,4885,2410,2475
3512026,Centre Hastings,4770,2375,2395
3512030,Tweed,6045,3055,2995
3512036,Madoc,2075,1065,1010
3512046,Marmora and Lake,3955,1960,1995
3512048,Tudor and Cashel,585,320,265
3512051,Limerick,345,190,155
3512054,Wollaston,670,350,315
3512058,Faraday,1405,690,710
3512061,Bancroft,3880,1805,2075
3512065,Carlow/Mayo,865,435,430
3512076,Hastings Highlands,4075,2085,1995
3513020,Prince Edward County,24735,12040,12700
3514004,Brighton,11840,6050,5790
3514014,Cramahe,6355,3220,3135
3514019,Hamilton,10945,5525,5415
3514020,Port Hope,16755,8100,8660
3514021,Cobourg,19440,8995,10445
3514024,Alnwick/Haldimand,6870,3505,3370
3514027,Alderville First Nation,495,250,245
3514045,Trent Hills,12900,6340,6565
3515003,Asphodel-Norwood,4105,2015,2090
3515005,Otonabee-South Monaghan,6670,3390,3285
3515008,Hiawatha First Nation,365,175,195
3515013,Cavan Monaghan,8830,4395,4435
3515014,Peterborough,81030,38170,42865
3515015,Selwyn,17060,8405,8650
3515019,Curve Lake First Nation 35,1060,490,570
3515023,Douro-Dummer,6710,3410,3300
3515030,Havelock-Belmont-Methuen,4530,2250,2275
3515037,North Kawartha,2475,1295,1185
3515044,Trent Lakes,5400,2780,2615
3516010,Kawartha Lakes,75425,37285,38135
3518001,Pickering,91775,44540,47230
3518005,Ajax,119675,57865,61815
3518009,Whitby,128380,62530,65845
3518013,Oshawa,159455,77785,81670
3518017,Clarington,92010,45115,46900
3518020,Scugog,21615,10665,10955
3518022,Mississaugas of Scugog Island,130,75,55
3518029,Uxbridge,21180,10415,10760
3518039,Brock,11645,5680,5960
3519028,Vaughan,306230,149055,157175
3519036,Markham,328965,160185,168780
3519038,Richmond Hill,195020,94745,100280
3519044,Whitchurch-Stouffville,45845,22435,23405
3519046,Aurora,55445,26945,28500
3519048,Newmarket,84225,40470,43755
3519049,King,24510,12280,12230
3519054,East Gwillimbury,23995,12000,11990
3519070,Georgina,45415,22520,22895
3519076,Chippewas of Georgina Island First Nation,260,120,140
3520005,Toronto,2731575,1313590,1417985
3521005,Mississauga,721600,351930,369670
3521010,Brampton,593640,293535,300105
3521024,Caledon,66505,33235,33265
3522001,East Garafraxa,2580,1330,1250
3522008,Amaranth,4075,2105,1975
3522010,Grand Valley,2960,1495,1460
3522012,Mono,8610,4320,4290
3522014,Orangeville,28900,13925,14975
3522016,Mulmur,3480,1795,1685
3522019,Melancthon,3010,1565,1445
3522021,Shelburne,8125,3940,4190
3523001,Puslinch,7335,3700,3635
3523008,Guelph,131790,64100,67690
3523009,Guelph/Eramosa,12855,6450,6405
3523017,Erin,11435,5830,5610
3523025,Centre Wellington,28195,13975,14220
3523033,Mapleton,10525,5305,5225
3523043,Minto,8670,4310,4360
3523050,Wellington North,11915,5865,6050
3524001,Oakville,193830,93655,100175
3524002,Burlington,183315,87955,95360
3524009,Milton,110125,54510,55615
3524015,Halton Hills,61160,30225,30935
3525005,Hamilton,536920,262530,274390
3526003,Fort Erie,30710,14955,15755
3526011,Port Colborne,18305,8870,9440
3526014,Wainfleet,6370,3245,3130
3526021,West Lincoln,14500,7295,7210
3526028,Pelham,17110,8385,8725
3526032,Welland,52290,25285,27010
3526037,Thorold,18800,9380,9420
3526043,Niagara Falls,88070,42530,45540
3526047,Niagara-on-the-Lake,17510,8575,8940
3526053,St. Catharines,133110,63490,69620
3526057,Lincoln,23790,11600,12185
3526065,Grimsby,27315,13315,14000
3528018,Haldimand County,45605,22765,22845
3528035,New Credit (Part) 40A,135,70,65
3528052,Norfolk County,64045,31760,32285
3529005,Brant,36705,18260,18445
3529006,Brantford,97495,47135,50360
3530004,North Dumfries,10215,5135,5080
3530010,Cambridge,129920,63870,66050
3530013,Kitchener,233220,114715,118505
3530016,Waterloo,104985,52490,52500
3530020,Wilmot,20545,10130,10420
3530027,Wellesley,11260,5690,5570
3530035,Woolwich,25010,12245,12765
3531011,Stratford,31465,15135,16335
3531013,Perth South,3810,1980,1830
3531016,St. Marys,7265,3470,3795
3531025,West Perth,8865,4405,4460
3531030,Perth East,12260,6150,6115
3531040,North Perth,13130,6490,6640
3532002,Norwich,11000,5565,5435
3532004,Tillsonburg,15875,7530,8345
3532012,South-West Oxford,7660,3940,3725
3532018,Ingersoll,12755,6325,6430
3532027,Zorra,8140,4120,4020
3532038,East Zorra-Tavistock,7130,3575,3555
3532042,Woodstock,40900,19865,21040
3532045,Blandford-Blenheim,7400,3825,3580
3534005,Bayham,7395,3755,3640
3534010,Malahide,9295,4695,4600
3534011,Aylmer,7495,3575,3920
3534020,Central Elgin,12605,6355,6250
3534021,St. Thomas,38910,18685,20220
3534024,Southwold,4420,2230,2190
3534030,Dutton/Dunwich,3870,1950,1915
3534042,West Elgin,4995,2485,2505
3536020,Chatham-Kent,101650,49540,52110
3536029,Moravian 47,395,210,185
3537001,Pelee,235,135,105
3537003,Leamington,27595,13780,13815
3537013,Kingsville,21550,10900,10650
3537016,Essex,20430,10135,10290
3537028,Amherstburg,21935,10820,11115
3537034,LaSalle,30180,14770,15410
3537039,Windsor,217190,106070,111120
3537048,Tecumseh,23230,11245,11985
3537064,Lakeshore,36615,18405,18205
3538003,St. Clair,14085,7030,7055
3538004,Walpole Island 46,1590,765,825
3538007,Dawn-Euphemia,1970,1065,910
3538015,Brooke-Alvinston,2410,1240,1170
3538016,Enniskillen,2795,1390,1405
3538018,Oil Springs,645,340,315
3538019,Petrolia,5745,2725,3015
3538025,Sarnia 45,640,305,335
3538030,Sarnia,71595,34655,36935
3538031,Point Edward,2035,985,1055
3538035,Plympton-Wyoming,7795,3905,3885
3538040,Lambton Shores,10635,5225,5410
3538043,Warwick,3690,1855,1835
3538056,Kettle Point 44,1010,515,495
3539002,Newbury,465,230,235
3539005,Southwest Middlesex,5720,2845,2880
3539015,Strathroy-Caradoc,20870,10175,10690
3539027,Thames Centre,13195,6635,6555
3539033,Middlesex Centre,17265,8605,8655
3539036,London,383825,185610,198215
3539041,North Middlesex,6350,3165,3190
3539047,Adelaide-Metcalfe,2990,1525,1465
3539060,Lucan Biddulph,4700,2360,2335
3540005,South Huron,10095,4880,5215
3540010,Bluewater,7135,3570,3570
3540025,Central Huron,7575,3745,3835
3540028,Goderich,7630,3615,4010
3540040,Huron East,9140,4605,4535
3540046,Howick,3870,1970,1900
3540050,Morris-Turnberry,3495,1775,1720
3540055,North Huron,4930,2435,2495
3540063,Ashfield-Colborne-Wawanosh,5420,2765,2660
3541004,South Bruce,5635,2870,2775
3541015,Huron-Kinloss,7070,3525,3545
3541024,Kincardine,11385,5550,5840
3541032,Brockton,9460,4680,4780
3541043,Arran-Elderslie,6805,3415,3385
3541045,Saugeen Shores,13715,6675,7040
3541055,South Bruce Peninsula,8415,4145,4275
3541057,Saugeen 29,1040,525,520
3541060,Neyaashiinigmiing 27,615,285,335
3541069,Northern Bruce Peninsula,4000,1965,2035
3542004,West Grey,12520,6385,6135
3542005,Southgate,7355,3815,3540
3542015,Grey Highlands,9805,4890,4910
3542029,Hanover,7690,3595,4090
3542037,Chatsworth,6630,3335,3295
3542045,The Blue Mountains,7025,3450,3575
3542047,Meaford,10990,5375,5610
3542053,Georgian Bluffs,10480,5350,5125
3542059,Owen Sound,21340,9895,11450
3543003,Adjala-Tosorontio,10975,5610,5360
3543005,Clearview,14150,7130,7020
3543007,New Tecumseth,34245,16810,17435
3543009,Springwater,19060,9610,9450
3543014,Bradford West Gwillimbury,35325,17440,17885
3543015,Severn,13475,6740,6735
3543017,Innisfil,36565,18320,18240
3543019,Ramara,9490,4815,4675
3543021,Essa,21080,10975,10110
3543023,Oro-Medonte,21035,10600,10435
3543031,Collingwood,21790,10170,11625
3543042,Barrie,141430,68540,72895
3543050,Mnjikaning First Nation 32,880,440,435
3543052,Orillia,31165,14605,16565
3543064,Wasaga Beach,20675,10055,10620
3543068,Tiny,11785,6020,5760
3543069,Christian Island 30,615,310,300
3543070,Christian Island 30A,45,20,25
